Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
Lneg_g00737_i1,Lneg_g00737,97.289,gb|KMQ96525.1|,"putative atp-dependent rna helicase ddx56-like protein, partial [Lasius niger]",0,689
Lneg_g00738_i1,Lneg_g00738,96.639,ref|XP_011331880.1|,transmembrane protein 35A [Ooceraea biroi],1.25E-82,243
Lneg_g00741_i1,Lneg_g00741,32.558,ref|XP_011343849.1|,putative nuclease HARBI1 [Ooceraea biroi],3.32E-10,60.8
Lneg_g00742_i1,Lneg_g00742,59.735,ref|NP_001015505.5|,male fertility factor kl2 [Drosophila melanogaster],0,845
Lneg_g00743_i1,Lneg_g00743,50.877,ref|XP_026301407.1|,uncharacterized protein LOC725005 [Apis mellifera],1E-35,124
Lneg_g00744_i1,Lneg_g00744,32.584,ref|XP_026825321.1|,uncharacterized protein LOC113561913 [Ooceraea biroi],5.79E-17,80.5
Lneg_g00746_i1,Lneg_g00746,49.138,ref|NP_611162.2|,integrator 8 [Drosophila melanogaster],4.2E-75,248
Lneg_g00747_i1,Lneg_g00747,91.534,ref|XP_012215908.1|,PREDICTED: probable signal peptidase complex subunit 2 [Linepithema humile],2.18E-129,363
Lneg_g00750_i1,Lneg_g00750,49.565,ref|XP_026823780.1|,uncharacterized protein LOC113561483 [Ooceraea biroi],1.2E-31,119
Lneg_g00753_i1,Lneg_g00753,99.213,gb|KMQ96783.1|,phosphatidylinositol transfer protein alpha isoform [Lasius niger],0,530
Lneg_g00754_i2,Lneg_g00754,99.196,gb|KMQ96782.1|,short-chain specific acyl- mitochondrial-like protein [Lasius niger],0,763
Lneg_g00755_i2,Lneg_g00755,90.633,ref|XP_011157800.1|,uncharacterized protein LOC105194538 [Solenopsis invicta],0,736
Lneg_g00756_i1,Lneg_g00756,91.417,ref|XP_018048137.1|,PREDICTED: uncharacterized protein LOC108687048 [Atta colombica],0,2768
Lneg_g00757_i1,Lneg_g00757,80.586,ref|XP_012232115.1|,PREDICTED: clavesin-2-like [Linepithema humile],2.07E-168,470
Lneg_g00759_i1,Lneg_g00759,91.441,gb|KMQ86974.1|,hypothetical protein RF55_13891 [Lasius niger],1.19E-147,412
Lneg_g00761_i1,Lneg_g00761,77.156,ref|XP_024876552.1|,uncharacterized protein LOC112457621 [Temnothorax curvispinosus],0,984
Lneg_g00762_i1,Lneg_g00762,98.296,ref|XP_011161215.1|,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase [Solenopsis invicta],0,1572
Lneg_g00766_i1,Lneg_g00766,73.881,ref|XP_024884841.1|,uncharacterized protein LOC112462969 [Temnothorax curvispinosus],0,624
Lneg_g00767_i1,Lneg_g00767,70.825,ref|XP_011050898.1|,PREDICTED: uncharacterized protein LOC105143978 [Acromyrmex echinatior],0,691
Lneg_g00768_i1,Lneg_g00768,51.852,gb|KMQ86001.1|,hypothetical protein RF55_15159 [Lasius niger],3.94E-12,65.5
Lneg_g00769_i1,Lneg_g00769,84.615,gb|KMQ92869.1|,retrovirus-like pol polyprotein [Lasius niger],6.33E-14,66.2
Lneg_g00770_i1,Lneg_g00770,96.135,ref|XP_016771561.1|,ADP-ribosylation factor-like protein 4C [Apis mellifera],8.2E-147,409
Lneg_g00774_i1,Lneg_g00774,95.971,ref|XP_018055274.1|,PREDICTED: class E basic helix-loop-helix protein 23 [Atta colombica],0,537
Lneg_g00775_i1,Lneg_g00775,94.444,ref|XP_012230450.1|,"PREDICTED: LOW QUALITY PROTEIN: dynein heavy chain 7, axonemal [Linepithema humile]",4E-93,337
Lneg_g00777_i1,Lneg_g00777,97.857,gb|KMQ86688.1|,rho gtpase-activating protein 20 [Lasius niger],1.32E-95,276
Lneg_g00778_i1,Lneg_g00778,88.535,gb|KMQ83359.1|,hypothetical protein RF55_20249 [Lasius niger],1.21E-98,285
Lneg_g00780_i1,Lneg_g00780,97.98,ref|XP_012233755.1|,PREDICTED: LOW QUALITY PROTEIN: voltage-dependent T-type calcium channel subunit alpha-1G-like [Linepithema humile],6.97E-60,201
Lneg_g00781_i1,Lneg_g00781,92.418,ref|XP_011061777.1|,PREDICTED: voltage-dependent T-type calcium channel subunit alpha-1G isoform X4 [Acromyrmex echinatior],0,836
Lneg_g00782_i1,Lneg_g00782,85.279,ref|XP_012233763.1|,PREDICTED: spermatogenesis-associated protein 20 isoform X3 [Linepithema humile],0,1386
Lneg_g00783_i1,Lneg_g00783,93.333,ref|XP_011161946.1|,probable protein BRICK1-B [Solenopsis invicta],2.19E-46,144
Lneg_g00784_i1,Lneg_g00784,64.497,ref|XP_024891102.1|,uncharacterized protein LOC112466956 [Temnothorax curvispinosus],9.31E-83,244
Lneg_g00785_i1,Lneg_g00785,71.253,ref|XP_024891098.1|,farnesyl pyrophosphate synthase-like [Temnothorax curvispinosus],0,607
Lneg_g00786_i1,Lneg_g00786,97.98,gb|KMQ87391.1|,hypothetical protein RF55_13337 [Lasius niger],4.97E-68,201
Lneg_g00787_i1,Lneg_g00787,68.351,ref|XP_024891059.1|,nucleolar protein 8-like [Temnothorax curvispinosus],3.01E-172,487
Lneg_g00788_i1,Lneg_g00788,75.938,ref|XP_024891093.1|,sodium-independent sulfate anion transporter-like [Temnothorax curvispinosus],0,970
Lneg_g00789_i1,Lneg_g00789,93.565,ref|XP_012233828.1|,PREDICTED: uncharacterized protein LOC105678776 isoform X2 [Linepithema humile],0,1054
Lneg_g00790_i1,Lneg_g00790,93.636,ref|XP_011175266.2|,nuclear protein localization protein 4 homolog [Solenopsis invicta],0,1291
Lneg_g00791_i1,Lneg_g00791,99.67,gb|KMQ96933.1|,peptidyl-prolyl cis-trans mitochondrial [Lasius niger],0,1251
Lneg_g00792_i1,Lneg_g00792,65.909,ref|XP_011347532.2|,EKC/KEOPS complex subunit TPRKB [Ooceraea biroi],1.16E-75,227
Lneg_g00793_i1,Lneg_g00793,63.158,ref|XP_039306353.1|,uncharacterized protein LOC105207471 [Solenopsis invicta],7.55E-45,145
Lneg_g00795_i1,Lneg_g00795,94.46,ref|XP_011348892.1|,uncharacterized protein LOC105285989 [Ooceraea biroi],0,665
Lneg_g00796_i1,Lneg_g00796,43.023,ref|XP_011060559.1|,PREDICTED: transmembrane protein 234 homolog [Acromyrmex echinatior],6.32E-34,119
Lneg_g00797_i1,Lneg_g00797,84.444,ref|XP_011348895.1|,transmembrane protein 234 homolog [Ooceraea biroi],2.74E-82,240
Lneg_g00798_i1,Lneg_g00798,34.375,ref|NP_724409.3|,intraflagellar transport 20 [Drosophila melanogaster],7.59E-21,84
Lneg_g00799_i1,Lneg_g00799,99.653,gb|KMR05093.1|,btb poz domain-containing adapter for cul3-mediated degradation protein 3-like protein [Lasius niger],0,597
Lneg_g00800_i1,Lneg_g00800,85.355,ref|XP_011175428.1|,probable protein phosphatase CG10417 [Solenopsis invicta],0,1085
Lneg_g00804_i1,Lneg_g00804,86.957,ref|XP_025988093.1|,transcription factor SPT20 homolog isoform X1 [Solenopsis invicta],0,1750
Lneg_g00805_i1,Lneg_g00805,48.387,ref|XP_011335238.2|,uncharacterized protein LOC105278109 [Ooceraea biroi],0,799
Lneg_g00806_i1,Lneg_g00806,80.215,ref|XP_011335237.1|,lipase maturation factor 2 [Ooceraea biroi],0,1102
Lneg_g00807_i1,Lneg_g00807,71.963,ref|XP_024873219.1|,uncharacterized protein LOC112455494 [Temnothorax curvispinosus],2.54E-47,153
Lneg_g00809_i1,Lneg_g00809,29.885,ref|XP_006568972.2|,uncharacterized protein LOC100576949 [Apis mellifera],0.00000751,42.7
Lneg_g00810_i1,Lneg_g00810,73.273,ref|XP_024871614.1|,uncharacterized protein LOC112454449 [Temnothorax curvispinosus],2.74E-171,481
Lneg_g00811_i1,Lneg_g00811,59.318,ref|XP_024871612.1|,uncharacterized protein LOC112454448 [Temnothorax curvispinosus],2.43E-165,474
Lneg_g00812_i1,Lneg_g00812,28.079,ref|XP_011341829.1|,ester hydrolase C11orf54 homolog [Ooceraea biroi],0.00000887,48.5
Lneg_g00814_i1,Lneg_g00814,96.861,gb|KMQ94851.1|,eukaryotic translation initiation factor 3 subunit c [Lasius niger],0,1777
Lneg_g00816_i1,Lneg_g00816,97.715,gb|KMQ93097.1|,dna2-like helicase protein [Lasius niger],0,2221
Lneg_g00817_i1,Lneg_g00817,87.8,ref|XP_024871250.1|,uncharacterized protein LOC112454217 [Temnothorax curvispinosus],0,909
Lneg_g00818_i1,Lneg_g00818,99.049,gb|KMQ93096.1|,cttnbp2 n-terminal-like protein [Lasius niger],0,1244
Lneg_g00819_i1,Lneg_g00819,85.344,ref|XP_039303006.1|,nephrin isoform X2 [Solenopsis invicta],0,1222
Lneg_g00821_i1,Lneg_g00821,50,ref|XP_024874690.1|,"UDP-glucuronosyltransferase 1-9-like, partial [Temnothorax curvispinosus]",4.98E-25,94.4
Lneg_g00823_i1,Lneg_g00823,91.933,ref|XP_012227937.1|,PREDICTED: CAD protein [Linepithema humile],0,2637
Lneg_g00824_i1,Lneg_g00824,67.257,ref|XP_011339113.1|,uncharacterized protein LOC105280336 [Ooceraea biroi],0,1016
Lneg_g00826_i1,Lneg_g00826,82.759,ref|XP_011338080.1|,brain protein I3 [Ooceraea biroi],1.98E-63,191
Lneg_g00827_i1,Lneg_g00827,60.889,ref|XP_019889701.2|,uncharacterized protein LOC105286854 [Ooceraea biroi],7.12E-77,234
Lneg_g00828_i2,Lneg_g00828,78.472,ref|XP_018051586.1|,PREDICTED: cytochrome b5-like [Atta colombica],5.91E-69,207
Lneg_g00829_i1,Lneg_g00829,75.714,ref|XP_018051666.1|,PREDICTED: torsin-like protein [Atta colombica],0,572
Lneg_g00830_i1,Lneg_g00830,94.332,ref|XP_024875738.1|,protein vav isoform X1 [Temnothorax curvispinosus],0,1486
Lneg_g00831_i1,Lneg_g00831,77.546,ref|XP_011345675.1|,deoxyribonuclease-2-alpha isoform X1 [Ooceraea biroi],0,629
Lneg_g00833_i1,Lneg_g00833,81.25,gb|KMQ83770.1|,proto-oncogene tyrosine-protein kinase ros [Lasius niger],0,524
Lneg_g00834_i1,Lneg_g00834,38.298,ref|XP_012222503.1|,PREDICTED: uncharacterized protein LOC105672265 [Linepithema humile],6.28E-18,79.3
Lneg_g00835_i1,Lneg_g00835,53.517,ref|XP_011061993.1|,PREDICTED: probable G-protein coupled receptor Mth-like 3 isoform X2 [Acromyrmex echinatior],5.7E-107,325
Lneg_g00836_i1,Lneg_g00836,91.518,ref|XP_011053692.1|,PREDICTED: prohormone-3 isoform X2 [Acromyrmex echinatior],2.01E-151,422
Lneg_g00837_i1,Lneg_g00837,29.708,ref|XP_011352305.1|,zinc finger protein 91 [Ooceraea biroi],1.47E-30,132
Lneg_g00838_i1,Lneg_g00838,98.656,gb|KMQ91381.1|,peptidyl-prolyl cis-trans isomerase fkbp8-like protein [Lasius niger],0,755
Lneg_g00839_i1,Lneg_g00839,90.148,ref|XP_026828258.1|,LOW QUALITY PROTEIN: peptidyl-prolyl cis-trans isomerase 5-like [Ooceraea biroi],9.88E-133,373
Lneg_g00840_i1,Lneg_g00840,86.553,gb|KMQ87139.1|,glutamyl-trna amidotransferase subunit mitochondrial [Lasius niger],0,891
Lneg_g00844_i1,Lneg_g00844,93.017,ref|XP_039311376.1|,uncharacterized protein LOC105202750 [Solenopsis invicta],0,726
Lneg_g00845_i1,Lneg_g00845,80.345,ref|XP_011340881.1|,uncharacterized protein LOC105281380 [Ooceraea biroi],3.45E-141,439
Lneg_g00846_i1,Lneg_g00846,59.06,ref|XP_039306609.1|,uncharacterized protein LOC105205282 [Solenopsis invicta],1.08E-60,187
Lneg_g00847_i1,Lneg_g00847,84.746,ref|XP_011049976.1|,PREDICTED: protein FAM102B [Acromyrmex echinatior],0,1056
Lneg_g00848_i1,Lneg_g00848,92,ref|XP_011348871.2|,potassium voltage-gated channel subfamily KQT member 1 isoform X1 [Ooceraea biroi],2.19E-86,251
Lneg_g00849_i1,Lneg_g00849,84.826,ref|XP_011169897.1|,arrestin domain-containing protein 17 [Solenopsis invicta],0,729
Lneg_g00850_i1,Lneg_g00850,87.613,ref|XP_393448.2|,synaptotagmin-4 [Apis mellifera],0,809
Lneg_g00851_i1,Lneg_g00851,77.07,ref|XP_018050079.1|,PREDICTED: dolichol kinase [Atta colombica],0,757
Lneg_g00852_i1,Lneg_g00852,100,ref|XP_012221824.1|,PREDICTED: serine/threonine-protein phosphatase 2B catalytic subunit 2-like isoform X1 [Linepithema humile],3.24E-78,256
Lneg_g00853_i1,Lneg_g00853,93.676,ref|XP_011173581.1|,ubiquitin-conjugating enzyme E2 J1 [Solenopsis invicta],2.3E-178,493
Lneg_g00854_i1,Lneg_g00854,84.375,ref|XP_024867230.1|,uncharacterized protein LOC112451676 [Temnothorax curvispinosus],3.19E-129,365
Lneg_g00857_i1,Lneg_g00857,90.762,gb|KMQ96426.1|,fk506-binding protein 6 [Lasius niger],0,799
Lneg_g00858_i2,Lneg_g00858,75.516,ref|XP_011173570.2|,pancreatic triacylglycerol lipase [Solenopsis invicta],0,544
Lneg_g00859_i1,Lneg_g00859,99.714,gb|KMQ91210.1|,ccaat enhancer-binding protein [Lasius niger],0,725
Lneg_g00860_i1,Lneg_g00860,74.843,gb|KMQ88842.1|,hypothetical protein RF55_11604 [Lasius niger],2.24E-71,216
Lneg_g00861_i1,Lneg_g00861,73,gb|KMQ92358.1|,f-box only protein 21-like protein [Lasius niger],8.32E-101,298
Lneg_g00862_i1,Lneg_g00862,86.111,ref|XP_012231989.1|,PREDICTED: putative protein tag-278 [Linepithema humile],0,675
Lneg_g00863_i1,Lneg_g00863,99.768,gb|KMQ95634.1|,transmembrane and tpr repeat-containing protein [Lasius niger],0,861
Lneg_g00864_i1,Lneg_g00864,85.068,ref|XP_024881905.1|,nodal modulator 3 [Temnothorax curvispinosus],0,1159
Lneg_g00866_i1,Lneg_g00866,84.044,ref|XP_024874278.1|,serine/threonine-protein kinase 17B-like [Temnothorax curvispinosus],0,962
Lneg_g00867_i1,Lneg_g00867,67.164,ref|XP_024874525.1|,probable salivary secreted peptide [Temnothorax curvispinosus],7.18E-30,104
Lneg_g00869_i1,Lneg_g00869,66.019,ref|NP_524626.1|,maverick [Drosophila melanogaster],6.42E-45,165
Lneg_g00870_i1,Lneg_g00870,99.138,gb|KMQ85032.1|,60s ribosomal protein l36 [Lasius niger],2.66E-79,231
Lneg_g00871_i1,Lneg_g00871,86.003,ref|XP_011345853.1|,GATOR complex protein WDR24 [Ooceraea biroi],0,1444
Lneg_g00873_i1,Lneg_g00873,99.466,gb|KMQ94967.1|,sorting nexin-25-like protein [Lasius niger],0,1935
Lneg_g00874_i1,Lneg_g00874,98.165,gb|KMQ94966.1|,rna-binding protein rsf1 [Lasius niger],2.7E-73,224
Lneg_g00875_i1,Lneg_g00875,78.779,ref|XP_024889791.1|,centromere/kinetochore protein zw10 homolog [Temnothorax curvispinosus],0,1181
Lneg_g00876_i1,Lneg_g00876,93.237,ref|XP_039306055.1|,cyclin-K isoform X1 [Solenopsis invicta],0,802
Lneg_g00877_i1,Lneg_g00877,79.079,ref|XP_024869805.1|,proteasome assembly chaperone 1 [Temnothorax curvispinosus],7.3E-141,396
Lneg_g00879_i2,Lneg_g00879,78.243,gb|KMQ86372.1|,hypothetical protein RF55_14649 [Lasius niger],1.58E-118,343
Lneg_g00882_i1,Lneg_g00882,98.606,gb|KMQ83594.1|,peroxisomal biogenesis factor 19 [Lasius niger],0,578
Lneg_g00883_i1,Lneg_g00883,94.709,gb|KMQ95631.1|,s phase cyclin a-associated protein in the endoplasmic reticulum [Lasius niger],0,2576
Lneg_g00884_i1,Lneg_g00884,97.684,gb|KMQ95632.1|,hypothetical protein RF55_4143 [Lasius niger],0,949
Lneg_g00886_i1,Lneg_g00886,98.435,ref|XP_018060433.1|,"PREDICTED: dynein heavy chain, cytoplasmic isoform X1 [Atta colombica]",0,9545
Lneg_g00887_i1,Lneg_g00887,60.644,ref|XP_011341970.1|,putative inhibitor of apoptosis [Ooceraea biroi],7.4E-179,505
Lneg_g00893_i1,Lneg_g00893,84.709,ref|XP_024871768.1|,protein timeless homolog [Temnothorax curvispinosus],0,1122
Lneg_g00895_i1,Lneg_g00895,100,gb|KMQ95043.1|,lim domain only protein 3-like protein [Lasius niger],2.19E-84,248
Lneg_g00898_i1,Lneg_g00898,89.831,ref|XP_026829584.1|,glutamate-gated chloride channel isoform X5 [Ooceraea biroi],1.7E-20,89
Lneg_g00899_i1,Lneg_g00899,38.065,ref|XP_024892744.1|,odorant receptor 4-like [Temnothorax curvispinosus],8.56E-27,105
Lneg_g00900_i1,Lneg_g00900,96.37,gb|KMQ92962.1|,phospholipase b-like lamina ancestor protein [Lasius niger],0,1095
Lneg_g00901_i1,Lneg_g00901,83.67,ref|XP_018051273.1|,PREDICTED: tyramine beta-hydroxylase [Atta colombica],0,1091
Lneg_g00902_i1,Lneg_g00902,95.077,ref|XP_024890411.1|,active breakpoint cluster region-related protein [Temnothorax curvispinosus],0,2128
Lneg_g00903_i1,Lneg_g00903,85.319,ref|XP_024883627.1|,rotatin [Temnothorax curvispinosus],0,3801
Lneg_g00906_i1,Lneg_g00906,98.45,ref|XP_025988620.2|,disks large 1 tumor suppressor protein isoform X1 [Solenopsis invicta],2.76E-177,537
Lneg_g00907_i1,Lneg_g00907,39.628,ref|XP_024881772.1|,uncharacterized protein LOC112460998 [Temnothorax curvispinosus],1.29E-70,223
Lneg_g00910_i1,Lneg_g00910,90.071,gb|KMQ87883.1|,nadh-dependent butanol dehydrogenase [Lasius niger],8.96E-75,224
Lneg_g00911_i1,Lneg_g00911,98,gb|KMQ86187.1|,retroelement polyprotein [Lasius niger],8.92E-60,203
Lneg_g00912_i1,Lneg_g00912,48.214,ref|XP_026297579.1|,uncharacterized protein LOC113218900 isoform X1 [Apis mellifera],2.98E-11,58.5
Lneg_g00914_i1,Lneg_g00914,58.095,ref|XP_011170306.1|,uncharacterized protein LOC105203229 [Solenopsis invicta],1.12E-34,125
Lneg_g00916_i1,Lneg_g00916,64.198,gb|KMQ90607.1|,nuclease harbi1 [Lasius niger],7.66E-32,117
Lneg_g00917_i1,Lneg_g00917,49.18,ref|XP_012219492.1|,"PREDICTED: extensin-like, partial [Linepithema humile]",0.00000625,44.3
Lneg_g00919_i1,Lneg_g00919,42.857,ref|XP_025993618.2|,uncharacterized protein LOC113004464 [Solenopsis invicta],1.81E-16,73.2
Lneg_g00923_i1,Lneg_g00923,38.122,ref|XP_024877242.1|,uncharacterized protein LOC112458063 [Temnothorax curvispinosus],7.9E-29,110
Lneg_g00926_i1,Lneg_g00926,53.636,ref|XP_018054086.1|,PREDICTED: uncharacterized protein LOC108691001 [Atta colombica],0,972
Lneg_g00927_i1,Lneg_g00927,82.84,ref|XP_011350033.1|,"adrenodoxin-like protein, mitochondrial [Ooceraea biroi]",8.96E-100,286
Lneg_g00928_i2,Lneg_g00928,82.138,ref|XP_011069259.1|,PREDICTED: phosphoribosylformylglycinamidine synthase [Acromyrmex echinatior],0,2303
Lneg_g00929_i1,Lneg_g00929,89.232,ref|XP_012219785.1|,PREDICTED: rho guanine nucleotide exchange factor 11 isoform X1 [Linepithema humile],0,2876
Lneg_g00930_i1,Lneg_g00930,83.529,ref|XP_026829610.1|,uncharacterized protein LOC105274661 [Ooceraea biroi],0,617
Lneg_g00931_i1,Lneg_g00931,32.407,ref|XP_024870112.1|,uncharacterized protein LOC112453550 [Temnothorax curvispinosus],3.26E-08,52.8
Lneg_g00932_i1,Lneg_g00932,81.395,ref|XP_024887681.1|,mitogen-activated protein kinase-binding protein 1 isoform X5 [Temnothorax curvispinosus],3.96E-111,354
Lneg_g00933_i1,Lneg_g00933,58.228,ref|XP_011348246.1|,THAP domain-containing protein 11 [Ooceraea biroi],8.87E-23,92.8
Lneg_g00940_i1,Lneg_g00940,34.783,ref|XP_011349230.1|,uncharacterized protein LOC105286181 [Ooceraea biroi],6.26E-11,58.9
Lneg_g00943_i2,Lneg_g00943,76.19,ref|XP_011169072.1|,putative nuclease HARBI1 [Solenopsis invicta],3.7E-42,141
Lneg_g00944_i1,Lneg_g00944,54.444,ref|XP_011342817.1|,ragulator complex protein LAMTOR2 [Ooceraea biroi],2.29E-22,85.9
Lneg_g00946_i1,Lneg_g00946,78.761,gb|KMQ82637.1|,fatty acid synthase [Lasius niger],1.16E-59,184
Lneg_g00947_i1,Lneg_g00947,66.406,ref|XP_024882877.1|,odorant receptor 43a-like [Temnothorax curvispinosus],3.21E-55,176
Lneg_g00949_i1,Lneg_g00949,97.111,ref|XP_012219551.1|,PREDICTED: uncharacterized protein LOC105670556 isoform X3 [Linepithema humile],0,894
Lneg_g00950_i1,Lneg_g00950,98.641,gb|KMQ91200.1|,5-azacytidine-induced protein 1 [Lasius niger],0,717
Lneg_g00951_i1,Lneg_g00951,86.649,gb|KMQ96268.1|,gtp-binding protein 128up [Lasius niger],0,630
Lneg_g00952_i1,Lneg_g00952,100,gb|KMQ96267.1|,protein phosphatase ptc7-like protein [Lasius niger],0,614
Lneg_g00953_i2,Lneg_g00953,98.75,ref|XP_011163335.1|,derlin-2 [Solenopsis invicta],3.31E-177,488
Lneg_g00954_i1,Lneg_g00954,92.042,ref|XP_026826576.1|,uncharacterized protein LOC105285922 [Ooceraea biroi],0,545
Lneg_g00955_i1,Lneg_g00955,85.662,ref|XP_025986125.1|,uncharacterized protein LOC105198882 [Solenopsis invicta],2.45E-160,449
Lneg_g00956_i1,Lneg_g00956,42.56,ref|XP_026826576.1|,uncharacterized protein LOC105285922 [Ooceraea biroi],6E-128,403
Lneg_g00957_i1,Lneg_g00957,31.273,ref|XP_018046658.1|,PREDICTED: protein piccolo-like [Atta colombica],2.11E-37,145
Lneg_g00959_i1,Lneg_g00959,96.934,ref|XP_024878591.1|,protocadherin-like wing polarity protein stan isoform X1 [Temnothorax curvispinosus],0,841
Lneg_g00961_i1,Lneg_g00961,36.667,ref|NP_572262.1|,uncharacterized protein Dmel_CG3108 [Drosophila melanogaster],0.00000205,51.6
Lneg_g00963_i1,Lneg_g00963,76.642,ref|XP_025991304.1|,TWiK family of potassium channels protein 9 [Solenopsis invicta],1.86E-142,414
Lneg_g00964_i1,Lneg_g00964,90.476,ref|XP_011347304.2|,AF4/FMR2 family member 4 [Ooceraea biroi],2.75E-18,84.7
Lneg_g00965_i1,Lneg_g00965,61.5,ref|XP_026823892.1|,uncharacterized protein LOC113561589 [Ooceraea biroi],1.2E-76,232
Lneg_g00968_i1,Lneg_g00968,31.447,ref|XP_039313803.1|,uncharacterized protein LOC120359649 [Solenopsis invicta],4.38E-16,80.5
Lneg_g00972_i1,Lneg_g00972,96.517,gb|KMQ92403.1|,protein ndufaf4-like protein [Lasius niger],1.92E-144,402
Lneg_g00973_i1,Lneg_g00973,99.742,gb|KMQ92404.1|,double-strand-break repair protein rad21-like protein [Lasius niger],0,1583
Lneg_g00975_i1,Lneg_g00975,81.963,ref|XP_024871284.1|,protein SDA1 homolog [Temnothorax curvispinosus],0,1211
Lneg_g00976_i1,Lneg_g00976,61.273,ref|XP_024871282.1|,cyclic AMP-dependent transcription factor ATF-6 alpha isoform X2 [Temnothorax curvispinosus],0,791
Lneg_g00977_i1,Lneg_g00977,78.151,ref|XP_026823658.1|,sulfiredoxin-1 [Ooceraea biroi],1.85E-69,207
Lneg_g00979_i1,Lneg_g00979,84.112,ref|XP_024874549.1|,cell division cycle protein 123 homolog [Temnothorax curvispinosus],0,559
Lneg_g00980_i1,Lneg_g00980,84.411,ref|NP_001265259.1|,Rab escort protein [Apis mellifera],0,1046
Lneg_g00981_i1,Lneg_g00981,98.361,gb|KMR05236.1|,hypothetical protein RF55_129 [Lasius niger],1.28E-177,490
Lneg_g00982_i1,Lneg_g00982,89.739,ref|XP_025994879.2|,gamma-aminobutyric acid receptor alpha-like [Solenopsis invicta],0,1002
Lneg_g00984_i1,Lneg_g00984,95.501,ref|XP_024874513.1|,gamma-aminobutyric acid receptor subunit beta-like [Temnothorax curvispinosus],0,934
Lneg_g00985_i1,Lneg_g00985,78.825,ref|XP_011053188.1|,PREDICTED: delta(14)-sterol reductase [Acromyrmex echinatior],0,1047
Lneg_g00986_i1,Lneg_g00986,76.833,ref|XP_018047973.1|,PREDICTED: heat shock factor 2-binding protein-like [Atta colombica],0,523
Lneg_g00988_i1,Lneg_g00988,100,gb|KMR01475.1|,protocadherin fat 3 [Lasius niger],8E-73,216
Lneg_g00989_i1,Lneg_g00989,40.408,gb|KMQ90526.1|,reverse ribonuclease integrase [Lasius niger],1.46E-49,176
Lneg_g00990_i1,Lneg_g00990,54.098,ref|XP_039302786.1|,uncharacterized protein LOC120357119 [Solenopsis invicta],1.36E-19,83.6
Lneg_g00991_i1,Lneg_g00991,40.625,ref|XP_016770190.1|,uncharacterized protein LOC408333 isoform X8 [Apis mellifera],0.000000768,45.4
Lneg_g00992_i1,Lneg_g00992,69.697,ref|XP_018047405.1|,PREDICTED: uncharacterized protein LOC108686553 [Atta colombica],2.48E-58,193
Lneg_g00995_i1,Lneg_g00995,93.506,ref|XP_003250578.1|,protein drumstick isoform X2 [Apis mellifera],9.43E-48,150
Lneg_g00996_i2,Lneg_g00996,34.266,ref|XP_012226634.1|,PREDICTED: protein PFC0760c-like [Linepithema humile],3.32E-19,87.4
Lneg_g00998_i1,Lneg_g00998,100,gb|KMQ89748.1|,cop9 signalosome complex subunit 5 [Lasius niger],0,726
Lneg_g00999_i6,Lneg_g00999,94.713,ref|XP_039307010.1|,AP-1 complex subunit gamma-1 isoform X4 [Solenopsis invicta],0,1706
Lneg_g01000_i1,Lneg_g01000,98.537,ref|XP_024868564.1|,ADP-ribosylation factor-related protein 1 [Temnothorax curvispinosus],1.87E-152,423
Lneg_g01001_i1,Lneg_g01001,39.453,ref|NP_610111.3|,Lamp1 [Drosophila melanogaster],6.45E-41,149
Lneg_g01002_i1,Lneg_g01002,99.049,gb|KMQ92201.1|,hypothetical protein RF55_7849 [Lasius niger],0,1080
Lneg_g01003_i1,Lneg_g01003,92.949,ref|XP_011171470.1|,protein FAM122A isoform X1 [Solenopsis invicta],0,525
Lneg_g01004_i1,Lneg_g01004,93.067,ref|XP_024868532.1|,differentially expressed in FDCP 8 homolog isoform X2 [Temnothorax curvispinosus],0,894
Lneg_g01005_i1,Lneg_g01005,49.356,ref|XP_012218397.1|,PREDICTED: phospholipase A2-like [Linepithema humile],4.28E-67,208
Lneg_g01006_i1,Lneg_g01006,91.555,ref|XP_011171477.2|,dihydropyrimidine dehydrogenase [NADP(+)] [Solenopsis invicta],0,1865
Lneg_g01007_i1,Lneg_g01007,78.814,ref|XP_039302731.1|,uncharacterized protein LOC113003541 [Solenopsis invicta],9.32E-59,187
Lneg_g01008_i1,Lneg_g01008,38.889,ref|XP_026824999.1|,aminopeptidase N [Ooceraea biroi],0.000000846,46.2
Lneg_g01009_i1,Lneg_g01009,47.98,ref|XP_024869467.1|,glutamyl aminopeptidase-like [Temnothorax curvispinosus],8.84E-50,176
Lneg_g01012_i1,Lneg_g01012,36.842,gb|KMQ83967.1|,hypothetical protein RF55_18695 [Lasius niger],4.16E-10,62
Lneg_g01013_i1,Lneg_g01013,30.653,gb|KMQ87980.1|,hypothetical protein RF55_12609 [Lasius niger],3.51E-23,98.6
Lneg_g01014_i1,Lneg_g01014,44.304,gb|KMQ85838.1|,hypothetical protein RF55_15377 [Lasius niger],1.99E-51,181
Lneg_g01015_i1,Lneg_g01015,51.813,gb|KMQ88543.1|,reverse transcriptase [Lasius niger],2.92E-44,162
Lneg_g01018_i1,Lneg_g01018,33.563,gb|KMQ87983.1|,hypothetical protein RF55_12606 [Lasius niger],7.04E-57,206
